"product","substance_name","substance_synonym","abbreviation","abbreviation_synonym","substance_group","cas_number","source","source_text"
"Lubricant solvent","Methyl nonafluorobutyl ether","Methyl perfluoroalkyl ether",,,,"163702-07-6","A.129","A.129 row: Methyl nonafluorobutyl ether OR Methyl perfluoroalkyl ether"
"Lubricant solvent","Propane, 2-(difluoromethoxymethyl)- 1,1,1,2,3,3,3-heptafluoro-","Methyl perfluoroisoalkyl ether",,,,"163702-08-7","A.129","A.129 row: Propane, 2-(difluoromethoxymethyl)- 1,1,1,2,3,3,3-heptafluoro- OR Methyl perfluoroisoalkyl ether"
"Active substance in biocidal and plant protection products","Bifenthrin (ISO); (2-methylbiphenyl-3-yl)methyl rel-(1R,3R)-3-[(1Z)-2-chloro- 3,3,3-trifluoroprop-1-en-1-yl]- 2,2-dimethylcyclopropanecarboxylat e;",,,,,"82657-04-3","A.130","A.130 row: Bifenthrin (ISO); (2-methylbiphenyl-3-yl)methyl rel-(1R,3R)-3-[(1Z)-2-chloro- 3,3,3-trifluoroprop-1-en-1-yl]- 2,2-dimethylcyclopropanecarboxylat e;"
"Active substance in biocidal and plant protection products","Fipronil (ISO); (±)-5-amino-1-(2,6-dichloro- α,α,α-trifluoro-para-tolyl)-4-trifluoromethylsulfinyl-pyrazole- 3-carbonitrile",,,,,"120068-37-3","A.130","A.130 row: Fipronil (ISO); (±)-5-amino-1-(2,6-dichloro- α,α,α-trifluoro-para-tolyl)-4-trifluoromethylsulfinyl-pyrazole- 3-carbonitrile"
"Active substance in biocidal and plant protection products","Tritosulfuron (ISO) (containing ≤0.02% 2-amino-4-methoxy-6- (trifluormethyl)-1,3,5-triazine); 1-[4-methoxy-6- (trifluoromethyl)-1,3,5-triazin- 2-yl]-3-[2- (trifluoromethyl)benzenesulfony l]urea (containing ≤0.02% 2-amino-4-methoxy-6- (trifluoromethyl)-1,3,5-triazine)",,,,,"142469-14-5","A.130","A.130 row: Tritosulfuron (ISO) (containing ≤0.02% 2-amino-4-methoxy-6- (trifluormethyl)-1,3,5-triazine); 1-[4-methoxy-6- (trifluoromethyl)-1,3,5-triazin- 2-yl]-3-[2- (trifluoromethyl)benzenesulfony l]urea (containing ≤0.02% 2-amino-4-methoxy-6- (trifluoromethyl)-1,3,5-triazine)"
"Active substance in biocidal and plant protection products","lambda-Cyhalothrin; [(R)-cyano-(3-phenoxyphenyl)methyl] (1S,3S)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",,,,,"91465-08-6","A.130","A.130 row: lambda-Cyhalothrin; [(R)-cyano-(3-phenoxyphenyl)methyl] (1S,3S)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate"
"Active substance in plant protection products","Acrinathrin; (S)-Cyano(3-phenoxyphenyl)methyl (Z)- (1R,3S)-2,2-dimethyl[2-(2,2,2-trifluoro-1-trifluoromethylethoxycarb onyl)vinyl]-cyclopropanecarboxylate",,,,,"101007-06-1","A.130","A.130 row: Acrinathrin; (S)-Cyano(3-phenoxyphenyl)methyl (Z)- (1R,3S)-2,2-dimethyl[2-(2,2,2-trifluoro-1-trifluoromethylethoxycarb onyl)vinyl]-cyclopropanecarboxylate"
"Active substance in plant protection products","Beflubutamid; N-benzyl-2-[4-fluoro-3- (trifluoromethyl)phenoxy]butan amide",,,,,"113614-08-7","A.130","A.130 row: Beflubutamid; N-benzyl-2-[4-fluoro-3- (trifluoromethyl)phenoxy]butan amide"
"Active substance in plant protection products","Benfluralin",,,,,"1861-40-1","A.130","A.130 row: Benfluralin"
"Active substance in plant protection products","Cyflufenamid; N-[(Z)-N-(cyclopropylmethoxy)- C-[2,3-difluoro-6- (trifluoromethyl)phenyl]carboni midoyl]-2-phenylacetamide",,,,,"180409-60-3","A.130","A.130 row: Cyflufenamid; N-[(Z)-N-(cyclopropylmethoxy)- C-[2,3-difluoro-6- (trifluoromethyl)phenyl]carboni midoyl]-2-phenylacetamide"
"Active substance in plant protection products","Cyflumetofen (ISO); 2-methoxyethyl (RS)-2-(4-tert-butylphenyl)-2-cyano-3-oxo-3- (α,α,α-trifluoro-o-tolyl)propionate",,,,,"400882-07-7","A.130","A.130 row: Cyflumetofen (ISO); 2-methoxyethyl (RS)-2-(4-tert-butylphenyl)-2-cyano-3-oxo-3- (α,α,α-trifluoro-o-tolyl)propionate"
"Active substance in plant protection products","Diflufenican (ISO); N-(2,4-difluorophenyl)-2-[3- (trifluoromethyl)phenoxy]-3-pyridinecarboxamide",,,,,"83164-33-4","A.130","A.130 row: Diflufenican (ISO); N-(2,4-difluorophenyl)-2-[3- (trifluoromethyl)phenoxy]-3-pyridinecarboxamide"
"Active substance in plant protection products","Flazasulfuron (ISO); 1-(4,6-dimethoxypyrimidin-2-yl)-3-(3-trifluoromethyl-2-pyridylsulfonyl)urea",,,,,"104040-78-0","A.130","A.130 row: Flazasulfuron (ISO); 1-(4,6-dimethoxypyrimidin-2-yl)-3-(3-trifluoromethyl-2-pyridylsulfonyl)urea"
"Active substance in plant protection products","Flonicamid (ISO); N-(cyanomethyl)-4- (trifluoromethyl)pyridine-3-carboxamide;",,,,,"158062-67-0","A.130","A.130 row: Flonicamid (ISO); N-(cyanomethyl)-4- (trifluoromethyl)pyridine-3-carboxamide;"
"Active substance in plant protection products","Fluazinam (ISO); 3-chloro-N-[3-chloro-2,6-dinitro-4- (trifluoromethyl)phenyl]-5- (trifluoromethyl)pyridin-2-amine;",,,,,"79622-59-6","A.130","A.130 row: Fluazinam (ISO); 3-chloro-N-[3-chloro-2,6-dinitro-4- (trifluoromethyl)phenyl]-5- (trifluoromethyl)pyridin-2-amine;"
"Active substance in plant protection products","Flubendiamide; 3-iodo-N'-(2-mesyl-1,1-dimethylethyl)-N-(](4-[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]-o-tolyl)[)phthalamide",,,,,"272451-65-7","A.130","A.130 row: Flubendiamide; 3-iodo-N'-(2-mesyl-1,1-dimethylethyl)-N-(](4-[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]-o-tolyl)[)phthalamide"
"Active substance in plant protection products","Flufenacet; N-(4-Fluorophenyl)-N-(propan- 2-yl)-2-(]([5-(trifluoromethyl)- 1,3,4-thiadiazol-2-yl]oxy)[)acetamide",,,,,"142459-58-3","A.130","A.130 row: Flufenacet; N-(4-Fluorophenyl)-N-(propan- 2-yl)-2-(]([5-(trifluoromethyl)- 1,3,4-thiadiazol-2-yl]oxy)[)acetamide"
"Active substance in plant protection products","Flufenoxuron; () 1-(4-(2-cloro-α,α,α-p-trifluorotolyloxy)-2-fluorophenyl)-3-(2,6-difluorobenzolyl)urea",,,,,"101463-69-8","A.130","A.130 row: Flufenoxuron; () 1-(4-(2-cloro-α,α,α-p-trifluorotolyloxy)-2-fluorophenyl)-3-(2,6-difluorobenzolyl)urea"
"Active substance in plant protection products","Flumetralin; N-(2-chloro-6-fluorobenzyl)-N-ethyl-α,α,α-trifluoro-2,6-dinitro-p-toluidine; flumetralin (ISO)",,,,,"62924-70-3","A.130","A.130 row: Flumetralin; N-(2-chloro-6-fluorobenzyl)-N-ethyl-α,α,α-trifluoro-2,6-dinitro-p-toluidine; flumetralin (ISO)"
"Active substance in plant protection products","Fluometuron; 1,1-Dimethyl-3-[3- (trifluoromethyl)phenyl]urea",,,,,"2164-17-2","A.130","A.130 row: Fluometuron; 1,1-Dimethyl-3-[3- (trifluoromethyl)phenyl]urea"
"Active substance in plant protection products","Fluopicolide (ISO); 2,6-dichloro-N-[3-chloro-5- (trifluoromethyl)-2-pyridylmethyl]benzamide",,,,,"239110-15-7","A.130","A.130 row: Fluopicolide (ISO); 2,6-dichloro-N-[3-chloro-5- (trifluoromethyl)-2-pyridylmethyl]benzamide"
"Active substance in plant protection products","Fluopyram (ISO); N-(](2-[3-chloro-5- (trifluoromethyl)pyridin-2-yl]ethyl)[)-2- (trifluoromethyl)benzamide;",,,,,"658066-35-4","A.130","A.130 row: Fluopyram (ISO); N-(](2-[3-chloro-5- (trifluoromethyl)pyridin-2-yl]ethyl)[)-2- (trifluoromethyl)benzamide;"
"Active substance in plant protection products","Flurochloridone (ISO); 3-chloro-4-(chloromethyl)-1-[3-",,,,,"61213-25-0","A.130","A.130 row: Flurochloridone (ISO); 3-chloro-4-(chloromethyl)-1-[3-"
"Active substance in plant protection products","Flutianil (ISO); (2Z)-(]([2-fluoro-5- (trifluoromethyl)phenyl]thio)[)[ 3-(2-methoxyphenyl)-1,3-thiazolidin-2-ylidene]acetonitrile",,,,,"958647-10-4","A.130","A.130 row: Flutianil (ISO); (2Z)-(]([2-fluoro-5- (trifluoromethyl)phenyl]thio)[)[ 3-(2-methoxyphenyl)-1,3-thiazolidin-2-ylidene]acetonitrile"
"Active substance in plant protection products","Flutolanil (ISO); N-[3-(propan-2-yloxy)phenyl]- 2-(trifluoromethyl)benzamide; α,α,α-trifluoro-3′-isopropoxy-o-toluanilide",,,,,"66332-96-5","A.130","A.130 row: Flutolanil (ISO); N-[3-(propan-2-yloxy)phenyl]- 2-(trifluoromethyl)benzamide; α,α,α-trifluoro-3′-isopropoxy-o-toluanilide"
"Active substance in plant protection products","Gamma-Cyhalothrin; (S)-a-cyano-3-phenoxybenzyl (Z)-(1R,3R)-3-(2-chloro-3,3,3-trifluoropropenyl)-2,2-dimethylcyclopropanecarboxylat e",,,,,"76703-62-3","A.130","A.130 row: Gamma-Cyhalothrin; (S)-a-cyano-3-phenoxybenzyl (Z)-(1R,3R)-3-(2-chloro-3,3,3-trifluoropropenyl)-2,2-dimethylcyclopropanecarboxylat e"
"Active substance in plant protection products","Haloxyfop-P (R)-2-(](4-[3-chloro-5- (trifluoromethyl)- 2-pyridyloxy]phenoxy)[)propanoic acid",,,,,"95977-29-0","A.130","A.130 row: Haloxyfop-P (R)-2-(](4-[3-chloro-5- (trifluoromethyl)- 2-pyridyloxy]phenoxy)[)propanoic acid"
"Active substance in plant protection products","Isoxaflutole (ISO); 5-cyclopropyl-1,2-oxazol-4-yl α,α,α-trifluoro-2-mesyl-p-tolyl ketone",,,,,"141112-29-0","A.130","A.130 row: Isoxaflutole (ISO); 5-cyclopropyl-1,2-oxazol-4-yl α,α,α-trifluoro-2-mesyl-p-tolyl ketone"
"Active substance in plant protection products","Mefentrifluconazole; (2RS)-2-[4-(4-chlorophenoxy)- 2-(trifluoromethyl)phenyl]-1- (1H-1,2,4-triazol-1-yl)propan- 2-ol;",,,,,"1417782-03-6","A.130","A.130 row: Mefentrifluconazole; (2RS)-2-[4-(4-chlorophenoxy)- 2-(trifluoromethyl)phenyl]-1- (1H-1,2,4-triazol-1-yl)propan- 2-ol;"
"Active substance in plant protection products","Metaflumizone (ISO); 1-[[](Z)-[[]2-(4-cyanophenyl)- 1-[[]3- (trifluoromethyl)phenyl]ethylide ne]amino]-1-[[]4- (trifluoromethoxy)phenyl]urea",,,,,"139968-49-3","A.130","A.130 row: Metaflumizone (ISO); 1-[[](Z)-[[]2-(4-cyanophenyl)- 1-[[]3- (trifluoromethyl)phenyl]ethylide ne]amino]-1-[[]4- (trifluoromethoxy)phenyl]urea"
"Active substance in plant protection products","Oxathiapiprolin (ISO); 1-(4-(](4-[[]5-(2,6-difluorophenyl)-4,5-dihydro- 1,2-oxazol-3-yl]-1,3-thiazol-2-yl)[)piperidin-1-yl)-2-[[]5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethan-1-one",,,,,"1003318-67-9","A.130","A.130 row: Oxathiapiprolin (ISO); 1-(4-(](4-[[]5-(2,6-difluorophenyl)-4,5-dihydro- 1,2-oxazol-3-yl]-1,3-thiazol-2-yl)[)piperidin-1-yl)-2-[[]5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethan-1-one"
"Active substance in plant protection products","Oxyfluorfen; 2-chloro-1-(3-ethoxy-4-nitrophenoxy)-4- (trifluoromethyl)benzene",,,,,"42874-03-3","A.130","A.130 row: Oxyfluorfen; 2-chloro-1-(3-ethoxy-4-nitrophenoxy)-4- (trifluoromethyl)benzene"
"Active substance in plant protection products","Penoxsulam; 2-(2,2-difluoroethoxy)-N-(5,8-dimethoxy-[1,2,4]triazolo[1,5-c]pyrimidin-2-yl)-6- (trifluoromethyl)benzenesulfona mide",,,,,"219714-96-2","A.130","A.130 row: Penoxsulam; 2-(2,2-difluoroethoxy)-N-(5,8-dimethoxy-[1,2,4]triazolo[1,5-c]pyrimidin-2-yl)-6- (trifluoromethyl)benzenesulfona mide"
"Active substance in plant protection products","Penthiopyrad (ISO); (RS)-N-[2-(1,3-dimethylbutyl)- 3-thienyl]-1-methyl-3- (trifluoromethyl)pyrazole-4-carboxamide",,,,,"183675-82-3","A.130","A.130 row: Penthiopyrad (ISO); (RS)-N-[2-(1,3-dimethylbutyl)- 3-thienyl]-1-methyl-3- (trifluoromethyl)pyrazole-4-carboxamide"
"Active substance in plant protection products","Picolinafen (ISO); N-(4-fluorophenyl)-6-[3- (trifluoromethyl)phenoxy]pyridi ne-2-carboxamide; 4′-fluoro-6- [(α,α,α-trifluoro-m-tolyl)oxy]picolinanilide",,,,,"137641-05-5","A.130","A.130 row: Picolinafen (ISO); N-(4-fluorophenyl)-6-[3- (trifluoromethyl)phenoxy]pyridi ne-2-carboxamide; 4′-fluoro-6- [(α,α,α-trifluoro-m-tolyl)oxy]picolinanilide"
"Active substance in plant protection products","Picoxystrobin (ISO); methyl (2E)-3-methoxy-2-[2- ((]([6-(trifluoromethyl)pyridin- 2-yl]oxy)[)methyl)phenyl]acrylate",,,,,"117428-22-5","A.130","A.130 row: Picoxystrobin (ISO); methyl (2E)-3-methoxy-2-[2- ((]([6-(trifluoromethyl)pyridin- 2-yl]oxy)[)methyl)phenyl]acrylate"
"Active substance in plant protection products","Prosulfuron N-[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoyl]-2- (3,3,3-trifluoropropyl)benzenesulfona mide","1-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-3-[2-(3,3,3-trifluoropropyl)phenylsulfonyl]ur ea",,,,"94125-34-5","A.130","A.130 row: Prosulfuron N-[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoyl]-2- (3,3,3-trifluoropropyl)benzenesulfona mide or 1-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-3-[2-(3,3,3-trifluoropropyl)phenylsulfonyl]ur ea"
"Active substance in plant protection products","Pyridalyl (ISO); 2,6-dichloro-4-(3,3-dichloroallyloxy)phenyl 3-[5- (trifluoromethyl)-2-pyridyloxy]propyl ether",,,,,"179101-81-6","A.130","A.130 row: Pyridalyl (ISO); 2,6-dichloro-4-(3,3-dichloroallyloxy)phenyl 3-[5- (trifluoromethyl)-2-pyridyloxy]propyl ether"
"Active substance in plant protection products","Pyroxsulam (ISO); N-(5,7-dimethoxy[1,2,4]triazolo[1,5-a]pyrimidin-2-yl)-2-methoxy-4- (trifluoromethyl) pyridine-3-sulfonamide",,,,,"422556-08-9","A.130","A.130 row: Pyroxsulam (ISO); N-(5,7-dimethoxy[1,2,4]triazolo[1,5-a]pyrimidin-2-yl)-2-methoxy-4- (trifluoromethyl) pyridine-3-sulfonamide"
"Active substance in plant protection products","Sulfoxaflor (ISO); [methyl(oxo)(](1-[6- (trifluoromethyl)-3-pyridyl]ethyl)[)-λ6-sulfanylidene]cyanamide;",,,,,"946578-00-3","A.130","A.130 row: Sulfoxaflor (ISO); [methyl(oxo)(](1-[6- (trifluoromethyl)-3-pyridyl]ethyl)[)-λ6-sulfanylidene]cyanamide;"
"Active substance in plant protection products","Tau-Fluvalinate; [cyano-(3-phenoxyphenyl)methyl] (2R)-2- [2-chloro-4- (trifluoromethyl)anilino]-3-methylbutanoate",,,,,"102851-06-9","A.130","A.130 row: Tau-Fluvalinate; [cyano-(3-phenoxyphenyl)methyl] (2R)-2- [2-chloro-4- (trifluoromethyl)anilino]-3-methylbutanoate"
"Active substance in plant protection products","Tefluthrin (ISO); 2,3,5,6-tetrafluoro-4-methylbenzyl (1RS,3RS)-3- [(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropanecarboxylat e",,,,,"79538-32-2","A.130","A.130 row: Tefluthrin (ISO); 2,3,5,6-tetrafluoro-4-methylbenzyl (1RS,3RS)-3- [(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropanecarboxylat e"
"Active substance in plant protection products","Tembotrione (ISO); 2-(](2-chloro-4- (methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl) [)cyclohexane-1,3-dione;",,,,,"335104-84-2","A.130","A.130 row: Tembotrione (ISO); 2-(](2-chloro-4- (methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl) [)cyclohexane-1,3-dione;"
"Active substance in plant protection products","Tetraconazole; (+/-)-2-(2,4-Dichlorophenyl)-3- (1H-1,2,4-triazole-1-ylpropyl)- 1,1,2,2-tetrafluorethyl ether",,,,,"112281-77-3","A.130","A.130 row: Tetraconazole; (+/-)-2-(2,4-Dichlorophenyl)-3- (1H-1,2,4-triazole-1-ylpropyl)- 1,1,2,2-tetrafluorethyl ether"
"Active substance in plant protection products","Trifloxystrobin(ISO); methyl (E)-methoxyimino- (]((E)-α-[1-(α,α,α-trifluoro-m-tolyl)ethylideneaminooxy]-o-tolyl)[)acetate",,,,,"141517-21-7","A.130","A.130 row: Trifloxystrobin(ISO); methyl (E)-methoxyimino- (]((E)-α-[1-(α,α,α-trifluoro-m-tolyl)ethylideneaminooxy]-o-tolyl)[)acetate"
"Active substance in plant protection products","Triflumizole (ISO); (1E)-N-[4-chloro-2- (trifluoromethyl)phenyl]-1-(1H-imidazol-1-yl)-2-propoxyethanimine; (ISO)",,,,,"68694-11-1","A.130","A.130 row: Triflumizole (ISO); (1E)-N-[4-chloro-2- (trifluoromethyl)phenyl]-1-(1H-imidazol-1-yl)-2-propoxyethanimine; (ISO)"
"Active substance in plant protection products","Triflusulfuron-methyl; methyl 2-((]([4- (dimethylamino)-6-(2,2,2-",,,,,"126535-15-7","A.130","A.130 row: Triflusulfuron-methyl; methyl 2-((]([4- (dimethylamino)-6-(2,2,2-"
"Active substance in plant protection products","fluazifop-P; (2R)-2-(4-([5- (trifluoromethyl)pyridin-2-yl]oxy)phenoxy)propanoic acid",,,,,"83066-88-0","A.130","A.130 row: fluazifop-P; (2R)-2-(4-([5- (trifluoromethyl)pyridin-2-yl]oxy)phenoxy)propanoic acid"
"PT08-Wood preservatives","Bifenthrin",,,,,"82657-04-3","A.131","A.131 row: Bifenthrin"
"PT08-Wood preservatives","Chlorfenapyr; (ISO)4-bromo-2- (4-chlorophenyl)- 1-ethoxy methyl- 5-trifluoromethylpy rrole-3-carbonitrile",,,,,"122453-73-0","A.131","A.131 row: Chlorfenapyr; (ISO)4-bromo-2- (4-chlorophenyl)- 1-ethoxy methyl- 5-trifluoromethylpy rrole-3-carbonitrile"
"PT14-Rodenticides","Flocoumafen",,,,,"90035-08-8","A.131","A.131 row: Flocoumafen"
"PT18-Insecticides, acaricides and products to control other arthropods","Chlorfenapyr; (ISO)4-bromo-2- (4-chlorophenyl)- 1-ethoxy methyl- 5-trifluoromethylpy rrole-3-carbonitrile",,,,,"122453-73-0","A.131","A.131 row: Chlorfenapyr; (ISO)4-bromo-2- (4-chlorophenyl)- 1-ethoxy methyl- 5-trifluoromethylpy rrole-3-carbonitrile"
"PT18-Insecticides, acaricides and products to control other arthropods","Fipronil",,,,,"120068-37-3","A.131","A.131 row: Fipronil"
"PT18-Insecticides, acaricides and products to control other arthropods","Hexaflumuron; 1-(3,5-dichloro- 4-(1,1,2,2-tetrafluoroethoxy)phenyl)-3-(2,6-difluorobenzoyl) urea",,,,,"86479-06-3","A.131","A.131 row: Hexaflumuron; 1-(3,5-dichloro- 4-(1,1,2,2-tetrafluoroethoxy)phenyl)-3-(2,6-difluorobenzoyl) urea"
"PT18-Insecticides, acaricides and products to control other arthropods","lambda- Cyhalothrin; [(R)-cyano-(3-phenoxyphenyl) methyl] (1S,3S)- 3-[(Z)-2-chloro- 3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopro pane-1-carboxylate",,,,,"91465-08-6","A.131","A.131 row: lambda- Cyhalothrin; [(R)-cyano-(3-phenoxyphenyl) methyl] (1S,3S)- 3-[(Z)-2-chloro- 3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopro pane-1-carboxylate"
"PT21-Antifouling products","Tralopyril",,,,,"122454-29-9","A.131","A.131 row: Tralopyril"
"Balls for check valves (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Bellows for turbocharger (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Check valve balls (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Clips for jet engines (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Diaphragms (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Electrical connectors (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Electrical connectors (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Engine head gaskets (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Engine lube siphon hose (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Firewall seals (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Flue duct expansion joints (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Fuel hoses and fuel hose liner (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Fuel injector O-rings (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Fuel tank bladders (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Gaskets (valve and manifold) (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Heat-sealable tubing for wire and cable insulation (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Heat-sealable tubing for wire insulation (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Hydraulic O-ring seals (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"In-tank and quick connect fuel system seals (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Industrial roll covers (100% FKM or laminates with other elastomers) (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Lathe cut gaskets (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Manifold gaskets (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Military flare binders (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"O-ring seals in fuel, lubrication, and hydraulic systems (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Safety clothing and gloves (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Shaft seals (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Shaft seals (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Tire valve stem seals (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Traps for hot engine lubricants (Aerospace)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"US FDA approved seals in food handling processes (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"V-ring packers (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Valve liners (Industrial)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Valve stem and valve seals (Automotive)","Fluoroelastomers",,"FKM",,,,"A.14","Table A.14 title: Fluoroelastomers - non-exhaustive overview over specific uses and applications sectors"
"Architectural polyester/PVC fabrics as fluoropolymers","Fluoropolymers (unspecified)",,,,,,"A.17","<1% as a protection of polyester PVC fabrics"
"Chemical protective suits","Fluorosilicone",,,,,,"A.17","PTFE (max 1%), THV (max 1%) or FKM or Fluorosilicone (50-90%)"
"Chemical protective suits",,,"FKM",,,,"A.17","PTFE (max 1%), THV (max 1%) or FKM or Fluorosilicone (50-90%)"
"Chemical protective suits",,,"PTFE",,,,"A.17","PTFE (max 1%), THV (max 1%) or FKM or Fluorosilicone (50-90%)"
"Chemical protective suits",,,"THV",,,,"A.17","PTFE (max 1%), THV (max 1%) or FKM or Fluorosilicone (50-90%)"
"High performance upholstery","C6 side-chain fluorinated polymer",,"C6 SCFP",,,,"A.17","<0.1% C6 SCFP in final textile product"
"Medical gowns, drapes and PPE","C6 side-chain fluorinated polymer (unspecified)",,"C6 SCFP",,,,"A.17","C6 concentration average for all products <0.5%"
"Membrane","C6 side-chain fluorinated polymer (unspecified)",,"C6 SCFP",,,,"A.17","C6 PFAS represent approximately less than 1% of total weight of the membrane"
"Outdoor textiles","Perfluoroalkyl acid (unspecified)",,"PFAA",,,,"A.17","2% of FEP/PFAA in final product"
"Outdoor textiles",,,"FEP",,,,"A.17","2% of FEP/PFAA in final product"
"Protective and technical textiles where PTFE is used as a membrane material",,,"PTFE",,,,"A.17","100% of membrane is PTFE"
"Within some face masks","Expanded PTFE",,"ePTFE",,,,"A.17","1.9% of ePTFE in final products (by weight)"
